Country of president,President,Location country,Location city,Date start,Date end,Subject,President popularity,US favourability,
USA,W. BUSH,Vatican City,,5/28/2002,5/28/2002,Audience with Pope John Paul II.,-,,
USA,W. BUSH,Russia,St. Petersburg,11/22/2002,11/22/2002,Met with President Putin.,8,61,
USA,W. BUSH,Lithuania,Vilnius,11/22/2002,11/23/2002,Met with the Presidents of the Baltic States.,-,,
USA,W. BUSH,Romania,Bucharest,11/23/2002,11/23/2002,Met with President Iliescu.,-,,
USA,W. BUSH,Portugal,Terceira Island (Azores),3/16/2003,3/16/2003,"Discussed the Iraq crisis with British Prime Minister Blair, Spanish 
President Aznar, and Portuguese Prime Minister Durao.",-,,
USA,W. BUSH,United Kingdom,"Belfast, Hillsborough (Northern Ireland)",4/7/2003,4/8/2003,"Met with Prime Minister Blair to discuss the reconstruction of Iraq. Also 
met with Irish Prime Minister Ahern and Northern Irish political leaders.",51,70,
USA,W. BUSH,Poland,"Krakow, Auschwitz-Birkenau",5/30/2003,5/31/2003,"Met with President Kwasniewski and Prime Minister Miller; visited former 
Nazi concentration camps.",-,,
USA,W. BUSH,Russia,St. Petersburg,5/31/2003,6/1/2003,"Met with President Putin and attended ceremonies commemorating the city’s 
300th anniversary.",8,37,
USA,W. BUSH,Egypt,Sharm el-Sheikh,6/2/2003,6/3/2003,"Attended “Red Sea Summit” with the leaders of Bahrain, Egypt, Jordan, and 
Saudi Arabia, and with Palestinian Prime Minister Abbas.",-,,
USA,W. BUSH,Jordan,Aqaba,6/4/2003,6/4/2003,"Attended meetings with Israeli Prime Minister Sharon and Palestinian Prime 
Minister Abbas. Met with King Abdullah II.",-,,
USA,W. BUSH,Qatar,Doha,6/4/2003,6/5/2003,"Met with Emir Hamad Thani, visited U.S. Central Command headquarters and 
addressed U.S. military personnel. Overflew Baghdad en route to Qatar.",-,,
USA,W. BUSH,Senegal,"Dakar, Goree Island",7/8/2003,7/8/2003,Met with President Wade.,-,,
USA,W. BUSH,South Africa,Pretoria,7/8/2003,7/10/2003,Met with President Mbeki.,-,,
USA,W. BUSH,Botswana,Gaborone,7/10/2003,7/10/2003,Met with President Mogae. Toured Mokoldi Nature Reserve.,-,,
USA,W. BUSH,Uganda,Kampala,7/11/2003,7/11/2003,Met with President Musaveni.,-,,
USA,W. BUSH,Nigeria,Abuja,7/11/2003,7/12/2003,Met with President Obasanjo.,-,,
USA,W. BUSH,Japan,Tokyo,10/17/2003,10/18/2003,Met with Prime Minister Koizumi.,-,,
USA,W. BUSH,Philippines,Manila,10/18/2003,10/19/2003,"Addressed a joint session of the Philippine Congress and met with President 
Arroyo-Macapagal.",-,,
USA,W. BUSH,Singapore,Singapore,10/21/2003,10/22/2003,Met with Prime Minister Goh Chok Tong.,-,,
USA,W. BUSH,Indonesia,Denpasar (Bali),10/22/2003,10/22/2003,Met with President Sukarnoputri and Muslim religious leaders.,-,,
USA,W. BUSH,Australia,Canberra,10/22/2003,10/22/2003,Met with Prime Minister Howard and addressed Parliament.,59,59,
